Categoria,Serie,Numero,Luogo,Prov,Premio
4,G,348990,TERNI ,TR,20000
4,G,284386,GUBBIO ,PG,20000
4,G,151078,RONDISSONE ,TO,20000
4,P,417991,SAN ZENONE AL LAMBRO ,MI,20000
4,N,311733,FARA IN SABINA ,RI,20000
4,S,375763,ROMA ,RM,20000
4,O,1710,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,D,351692,CASARANO ,LE,20000
4,Q,184491,MAGLIANO SABINA ,RI,20000
4,I,272354,RONCOFERRARO ,MN,20000
4,AA,73175,RIVENDITORE ONLINE,,20000
4,P,245541,ENNA ,EN,20000
4,S,238989,ROMA ,RM,20000
4,L,140779,BERTINORO ,FC,20000
4,S,457686,BELLARIA IGEA MARINA ,RN,20000
4,A,174717,DISTRIBUTORE LOCALE SAN NICOLA LA STRADA ,CE,20000
4,F,477408,NAPOLI ,NA,20000
4,C,132181,CEGLIE MESSAPICA ,BR,20000
4,D,423728,SAN SEVERINO MARCHE ,MC,20000
4,I,30159,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,AA,257217,RIVENDITORE ONLINE,,20000
4,AA,15256,RIVENDITORE ONLINE,,20000
4,D,242142,MILANO ,MI,20000
4,I,77915,PADOVA ,PD,20000
4,R,481432,NAPOLI ,NA,20000
4,O,254771,BOLLATE ,MI,20000
4,M,67730,AREZZO ,AR,20000
4,R,393889,ROVERETO ,TN,20000
4,E,138615,COLOGNO MONZESE ,MI,20000
4,I,235690,CEGLIE MESSAPICA ,BR,20000
4,M,499231,MILANO ,MI,20000
4,M,290067,ROMA ,RM,20000
4,D,98128,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,E,467515,SAN ZENONE AL LAMBRO ,MI,20000
4,D,31215,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,R,320295,OSTRA ,AN,20000
4,L,341801,MESSINA ,ME,20000
4,L,207062,CANZANO ,TE,20000
4,G,71881,DISTRIBUTORE LOCALE PRATO ,PO,20000
4,Q,157168,BENTIVOGLIO ,BO,20000
4,Q,329950,MONTICHIARI ,BS,20000
4,I,347822,PESCARA ,PE,20000
4,A,270577,MOGGIO UDINESE ,UD,20000
4,Q,127256,MILANO ,MI,20000
4,E,293493,SERRAVALLE PISTOIESE ,PT,20000
4,D,311610,GIUGLIANO IN CAMPANIA ,NA,20000
4,O,320541,BOLOGNA ,BO,20000
4,Q,203226,CUNEO ,CN,20000
4,F,494756,ROMA ,RM,20000
4,I,468851,SAN MINIATO ,PI,20000
4,I,157977,VILLARBOIT ,VC,20000
4,B,189342,MESAGNE ,BR,20000
4,Q,44926,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,N,445610,SALA CONSILINA ,SA,20000
4,G,394402,BUSSOLENO ,TO,20000
4,M,479982,CASTIGLIONE DEI PEPOLI ,BO,20000
4,N,342401,TORINO ,TO,20000
4,M,41952,DISTRIBUTORE LOCALE ROMA ,RM,20000
4,T,404382,ROMA ,RM,20000
4,Q,270923,BAGHERIA ,PA,20000
4,P,7303,DISTRIBUTORE LOCALE MONDOLFO ,PU,20000
